teamIDretro,ID
BS1,0
CH1,1
CL1,2
FW1,3
NY2,4
PH1,5
RC1,6
TRO,7
WS3,8
BL1,9
BR1,10
BR2,11
MID,12
WS4,13
BL4,14
ELI,15
PH2,16
WS5,17
CH2,18
HR1,19
KEO,20
NH1,21
PH3,22
SL1,23
SL2,24
WS6,25
BSN,26
CHN,27
CN1,28
HAR,29
LS1,30
NY3,31
PHN,32
SL3,33
IN1,34
ML2,35
PRO,36
BFN,37
CL2,38
SR1,39
TRN,40
WOR,41
DTN,42
BL2,43
CN2,44
LS2,45
PH4,46
PT1,47
SL4,48
CL5,49
NY1,50
NY4,51
PHI,52
ALT,53
BLU,54
BR3,55
BSU,56
CHU,57
CNU,58
IN2,59
KCU,60
MLU,61
PHU,62
RIC,63
SLU,64
SPU,65
TL1,66
WIL,67
WS7,68
WSU,69
SL5,70
KCN,71
WS8,72
CL3,73
IN3,74
PIT,75
KC2,76
CL4,77
CL6,78
BFP,79
BL3,80
BR4,81
BRO,82
BRP,83
BSP,84
CHP,85
CIN,86
CLP,87
NYP,88
PHP,89
PTP,90
RC2,91
SR2,92
TL2,93
BS2,94
CN3,95
ML3,96
WS9,97
BLN,98
LS3,99
SLN,100
WAS,101
BLA,102
BOS,103
CHA,104
CLE,105
DET,106
MLA,107
PHA,108
WS1,109
SLA,110
NYA,111
BLF,112
BRF,113
BUF,114
CHF,115
IND,116
KCF,117
PTF,118
SLF,119
NEW,120
MLN,121
BAL,122
KC1,123
LAN,124
SFN,125
LAA,126
MIN,127
WS2,128
HOU,129
NYN,130
CAL,131
ATL,132
OAK,133
KCA,134
MON,135
SDN,136
SE1,137
MIL,138
TEX,139
SEA,140
TOR,141
COL,142
FLO,143
ARI,144
TBA,145
MIA,146
